,site,product,lon,lat,event_no,index_start,index_peak,index_end,duration,date_start,date_peak,date_end,intensity_mean,intensity_max,intensity_var,intensity_cumulative,intensity_mean_relThresh,intensity_max_relThresh,intensity_var_relThresh,intensity_cumulative_relThresh,intensity_mean_abs,intensity_max_abs,intensity_var_abs,intensity_cumulative_abs,rate_onset,rate_decline
409,Saldanha Bay,SACTN,17.950626,-33.010543,150,9285,9285,9288,4,2014-06-03,2014-06-03,2014-06-06,-0.7349,-0.8968,0.2751,-2.9397,-0.0951,-0.2484,0.2682,-0.3806,13.125,13,0.25,52.5,-0.4745,-0.4529
410,Saldanha Bay,SACTN,17.950626,-33.010543,151,9392,9393,9394,3,2014-09-18,2014-09-19,2014-09-20,-1.6121,-1.7785,0.2517,-4.8364,-1.0617,-1.2294,0.2498,-3.185,13.1667,13,0.2887,39.5,-0.7096,-0.7892
411,Saldanha Bay,SACTN,17.950626,-33.010543,152,9434,9434,9437,4,2014-10-30,2014-10-30,2014-11-02,-1.1243,-1.9314,0.6949,-4.4971,-0.6437,-1.4564,0.6997,-2.5749,15.375,14.5,0.75,61.5,-2.0446,-0.455
412,Saldanha Bay,SACTN,17.950626,-33.010543,153,9462,9465,9465,4,2014-11-27,2014-11-30,2014-11-30,-1.3145,-1.6202,0.3319,-5.2582,-0.7014,-1.0081,0.3325,-2.8056,16.25,16,0.2887,65,-0.3225,-1.9614
413,Saldanha Bay,SACTN,17.950626,-33.010543,154,9522,9522,9524,3,2015-01-26,2015-01-26,2015-01-28,-0.7101,-0.7145,0.0042,-2.1302,-0.029,-0.029,0,-0.087,18,18,0,54,-0.9922,-0.1042
414,Saldanha Bay,SACTN,17.950626,-33.010543,155,9549,9552,9557,9,2015-02-22,2015-02-25,2015-03-02,-1.0179,-2.1152,0.8859,-9.1611,-0.3349,-1.4395,0.8955,-3.0138,17.0556,16,0.8457,153.5,-0.4006,-0.5851
415,Saldanha Bay,SACTN,17.950626,-33.010543,156,9628,9629,9631,4,2015-05-12,2015-05-13,2015-05-15,-1.0055,-1.394,0.2612,-4.0219,-0.3593,-0.7484,0.2621,-1.437,13.375,13,0.25,53.5,-0.6389,-0.1269
416,Saldanha Bay,SACTN,17.950626,-33.010543,157,9640,9640,9645,6,2015-05-24,2015-05-24,2015-05-29,-0.9922,-1.6287,0.3813,-5.9529,-0.3452,-0.9823,0.3814,-2.071,13.0833,12.5,0.3764,78.5,-0.9788,-0.2032
417,Saldanha Bay,SACTN,17.950626,-33.010543,158,9668,9669,9671,4,2015-06-21,2015-06-22,2015-06-24,-0.7958,-1.0709,0.5306,-3.1833,-0.2302,-0.5,0.5396,-0.9207,12.7702,12.5,0.5404,51.0809,-0.7139,0.0905
418,Saldanha Bay,SACTN,17.950626,-33.010543,159,9675,9675,9681,7,2015-06-28,2015-06-28,2015-07-04,-1.4148,-1.5157,0.1903,-9.9033,-0.9205,-0.9919,0.189,-6.4433,12.0714,12,0.189,84.5,0.0098,-0.0097
419,Saldanha Bay,SACTN,17.950626,-33.010543,160,9694,9698,9699,6,2015-07-17,2015-07-21,2015-07-22,-1.3448,-1.8375,0.3117,-8.0685,-0.9919,-1.4919,0.3162,-5.9514,12,11.5,0.3162,72,-0.1059,-0.7804
420,Saldanha Bay,SACTN,17.950626,-33.010543,161,9704,9706,9711,8,2015-07-27,2015-07-29,2015-08-03,-1.4283,-2.3326,0.6786,-11.4261,-1.0813,-2,0.6821,-8.6505,11.9183,11,0.6823,95.3463,-0.5677,-0.1724
421,Saldanha Bay,SACTN,17.950626,-33.010543,162,9719,9722,9730,12,2015-08-11,2015-08-14,2015-08-22,-0.8504,-1.5818,0.5701,-10.2049,-0.3186,-1.0677,0.5795,-3.8237,12.7924,12,0.6102,153.5085,-0.235,-0.1861
422,Saldanha Bay,SACTN,17.950626,-33.010543,163,9746,9750,9750,5,2015-09-07,2015-09-11,2015-09-11,-1.4806,-1.9502,0.4515,-7.4031,-0.9413,-1.4223,0.4585,-4.7065,12.9,12.5,0.4183,64.5,-0.2875,-1.9502
423,Saldanha Bay,SACTN,17.950626,-33.010543,164,9760,9763,9764,5,2015-09-21,2015-09-24,2015-09-25,-1.451,-1.9936,0.5059,-7.2549,-0.894,-1.4329,0.5058,-4.4702,13.5,13,0.5,67.5,-0.4458,-0.9855
424,Saldanha Bay,SACTN,17.950626,-33.010543,165,9809,9811,9811,3,2015-11-09,2015-11-11,2015-11-11,-0.9034,-0.945,0.0414,-2.7103,-0.3731,-0.411,0.0381,-1.1193,16,16,0,48,-0.2056,-0.459
425,Saldanha Bay,SACTN,17.950626,-33.010543,166,9935,9937,9937,3,2016-03-14,2016-03-16,2016-03-16,-1.0998,-1.3883,0.2508,-3.2994,-0.3531,-0.6485,0.2567,-1.0593,16.3333,16,0.2887,49,-0.3598,-1.0454
426,Saldanha Bay,SACTN,17.950626,-33.010543,167,10026,10026,10028,3,2016-06-13,2016-06-13,2016-06-15,-1.1663,-1.1823,0.016,-3.499,-0.565,-0.5806,0.0153,-1.6951,12.5,12.5,0,37.5,-1.1823,-0.2428
427,Saldanha Bay,SACTN,17.950626,-33.010543,168,10033,10034,10051,19,2016-06-20,2016-06-21,2016-07-08,-1.1884,-2.0809,0.6943,-22.5805,-0.6781,-1.5016,0.6943,-12.8833,12.3168,11.5,0.6935,234.0196,-0.8569,-0.064
428,Saldanha Bay,SACTN,17.950626,-33.010543,169,10133,10135,10135,3,2016-09-28,2016-09-30,2016-09-30,-1.5046,-1.7065,0.291,-4.5137,-0.9307,-1.1343,0.2922,-2.7922,13.6667,13.5,0.2887,41,-0.3351,-1.7065
429,Saldanha Bay,SACTN,17.950626,-33.010543,170,10181,10183,10184,4,2016-11-15,2016-11-17,2016-11-18,-0.8987,-1.6663,0.5135,-3.5948,-0.3384,-1.1045,0.5123,-1.3536,16.25,15.5,0.5,65,-0.5348,-0.8776
430,Saldanha Bay,SACTN,17.950626,-33.010543,171,10188,10191,10191,4,2016-11-22,2016-11-25,2016-11-25,-0.885,-0.937,0.0446,-3.5399,-0.2826,-0.3313,0.041,-1.1306,16.5,16.5,0,66,-0.1487,-0.937
431,Saldanha Bay,SACTN,17.950626,-33.010543,172,10206,10209,10211,6,2016-12-10,2016-12-13,2016-12-15,-1.5803,-2.1878,0.5349,-9.482,-1.0428,-1.6494,0.5306,-6.2569,16.5833,16,0.5845,99.5,-0.1773,-0.7178
432,Saldanha Bay,SACTN,17.950626,-33.010543,173,10231,10236,10238,8,2017-01-04,2017-01-09,2017-01-11,-1.3701,-2.4273,1.0199,-10.9606,-0.7864,-1.8346,1.015,-6.291,17.5429,16.5,1.0197,140.3435,-0.373,-0.687
433,Saldanha Bay,SACTN,17.950626,-33.010543,174,10301,10302,10303,3,2017-03-15,2017-03-16,2017-03-17,-1.5549,-2.3883,0.7798,-4.6647,-0.8163,-1.6485,0.7746,-2.4488,15.8333,15,0.7638,47.5,-0.9552,-1.3112
434,Saldanha Bay,SACTN,17.950626,-33.010543,175,10408,10408,10411,4,2017-06-30,2017-06-30,2017-07-03,-1.1311,-1.496,0.2466,-4.5244,-0.6419,-0.9919,0.238,-2.5676,12.35,12,0.238,49.4,-1.496,-0.2751
435,Saldanha Bay,SACTN,17.950626,-33.010543,176,10459,10464,10464,6,2017-08-20,2017-08-25,2017-08-25,-1.2566,-1.8682,0.6725,-7.5394,-0.6917,-1.2997,0.669,-4.1505,12.5377,12,0.6317,75.2262,-0.3397,-1.8682
436,Saldanha Bay,SACTN,17.950626,-33.010543,177,10474,10477,10477,4,2017-09-04,2017-09-07,2017-09-07,-1.511,-1.8125,0.535,-6.044,-0.9352,-1.2529,0.5412,-3.7407,12.75,12.5,0.5,51,-0.4165,0.5334
437,Saldanha Bay,SACTN,17.950626,-33.010543,178,10481,10484,10486,6,2017-09-11,2017-09-14,2017-09-16,-1.5483,-2.0668,0.5137,-9.2895,-1.0083,-1.5239,0.5183,-6.0499,13,12.5,0.5477,78,-0.3833,-0.558
438,Saldanha Bay,SACTN,17.950626,-33.010543,179,10492,10494,10494,3,2017-09-22,2017-09-24,2017-09-24,-0.9525,-0.9936,0.0415,-2.8576,-0.3962,-0.4329,0.0373,-1.1885,14,14,0,42,-0.042,0.537
439,Saldanha Bay,SACTN,17.950626,-33.010543,180,10506,10508,10509,4,2017-10-06,2017-10-08,2017-10-09,-1.2484,-1.9977,0.8656,-4.9936,-0.7215,-1.4675,0.8616,-2.886,14.2302,13.5,0.8281,56.921,-0.4223,-0.2938
440,Saldanha Bay,SACTN,17.950626,-33.010543,181,10513,10514,10516,4,2017-10-13,2017-10-14,2017-10-16,-1.6412,-2.2448,0.4892,-6.5649,-1.1352,-1.7364,0.4908,-4.5408,14.125,13.5,0.4787,56.5,-0.5428,-0.5319
441,Sea Point,SACTN,18.382165,-33.918469,1,32,32,35,4,1992-08-10,1992-08-10,1992-08-13,-1.5254,-2.2553,0.6279,-6.1015,-0.823,-1.5613,0.6336,-3.2919,11.75,11,0.6455,47,-2.0114,-0.4147
442,Sea Point,SACTN,18.382165,-33.918469,2,541,541,545,5,1994-01-01,1994-01-01,1994-01-05,-1.9853,-2.1971,0.4433,-9.9267,-1.0291,-1.2496,0.4397,-5.1453,11.2,11,0.4472,56,-0.9945,-0.3409
443,Sea Point,SACTN,18.382165,-33.918469,3,680,681,683,4,1994-05-20,1994-05-21,1994-05-23,-1.7335,-2.2227,0.5526,-6.9339,-1.0887,-1.5726,0.5404,-4.3548,11.5,11,0.5774,46,-0.7481,-0.5786
444,Sea Point,SACTN,18.382165,-33.918469,4,773,775,775,3,1994-08-21,1994-08-23,1994-08-23,-1.9352,-2.449,0.8783,-5.8056,-1.2393,-1.7581,0.8819,-3.7178,11.5,11,0.866,34.5,-0.914,-1.9874
445,Sea Point,SACTN,18.382165,-33.918469,5,837,840,840,4,1994-10-24,1994-10-27,1994-10-27,-1.6524,-1.6569,0.0034,-6.6098,-0.4988,-0.5,0.0008,-1.9952,11,11,0,44,-0.1448,-0.9958
446,Sea Point,SACTN,18.382165,-33.918469,6,913,913,915,3,1995-01-08,1995-01-08,1995-01-10,-1.1048,-1.1231,0.0182,-3.3145,-0.0731,-0.1081,0.0364,-0.2194,12,12,0,36,-0.4826,-0.4181
447,Sea Point,SACTN,18.382165,-33.918469,7,1017,1022,1025,9,1995-04-22,1995-04-27,1995-04-30,-2.2512,-2.8125,0.7056,-20.261,-1.4204,-1.9839,0.7073,-12.7839,10.5556,10,0.7265,95,-0.1886,-0.5596
448,Sea Point,SACTN,18.382165,-33.918469,8,1030,1034,1040,11,1995-05-05,1995-05-09,1995-05-15,-2.5147,-3.9971,0.7577,-27.6614,-1.7389,-3.2065,0.7686,-19.1275,10.5,9,0.7416,115.5,-0.4623,-0.2896
449,Sea Point,SACTN,18.382165,-33.918469,9,1069,1069,1072,4,1995-06-13,1995-06-13,1995-06-16,-2.3449,-2.4697,0.2494,-9.3796,-1.6516,-1.779,0.2516,-6.6064,11.125,11,0.25,44.5,0.9998,-0.0709
450,Sea Point,SACTN,18.382165,-33.918469,10,1093,1097,1097,5,1995-07-07,1995-07-11,1995-07-11,-2.0549,-2.824,0.6489,-10.2744,-1.4581,-2.2452,0.6624,-7.2903,11.3,10.5,0.6708,56.5,-0.43,-0.0167
451,Sea Point,SACTN,18.382165,-33.918469,11,1110,1121,1144,35,1995-07-24,1995-08-04,1995-08-27,-1.6299,-3.2035,0.768,-57.045,-0.9735,-2.5758,0.7562,-34.0724,11.6571,10,0.7551,408,-0.0906,-0.0934
452,Sea Point,SACTN,18.382165,-33.918469,12,1439,1442,1443,5,1996-06-17,1996-06-20,1996-06-21,-1.7759,-1.9777,0.4455,-8.8794,-1.0777,-1.279,0.4474,-5.3886,11.7,11.5,0.4472,58.5,-0.0017,-0.9986
453,Sea Point,SACTN,18.382165,-33.918469,13,1451,1453,1458,8,1996-06-29,1996-07-01,1996-07-06,-1.9289,-2.4433,0.6442,-15.4312,-1.2748,-1.7758,0.655,-10.1984,11.5,11,0.6547,92,-0.5925,-0.1008
454,Sea Point,SACTN,18.382165,-33.918469,14,1463,1468,1468,6,1996-07-11,1996-07-16,1996-07-16,-2.3663,-2.7424,0.1857,-14.1978,-1.7941,-2.1742,0.1873,-10.7646,10.9167,10.5,0.2041,65.5,-0.0746,-0.0151
455,Sea Point,SACTN,18.382165,-33.918469,15,1472,1480,1481,10,1996-07-20,1996-07-28,1996-07-29,-2.2153,-3.1586,0.4388,-22.1525,-1.6389,-2.5758,0.4373,-16.3887,10.95,10,0.4378,109.5,-0.1133,-0.3281
456,Sea Point,SACTN,18.382165,-33.918469,16,1489,1518,1518,30,1996-08-06,1996-09-04,1996-09-04,-2.0585,-3.6021,0.764,-61.7536,-1.378,-2.971,0.7705,-41.3387,11.35,10,0.7785,340.5,-0.0386,-3.6021
457,Sea Point,SACTN,18.382165,-33.918469,17,1527,1527,1537,11,1996-09-13,1996-09-13,1996-09-23,-1.0718,-1.1268,0.0506,-11.7898,-0.4286,-0.5364,0.0876,-4.7142,12.5,12.5,0,137.5,2.5039,0.0082
458,Sea Point,SACTN,18.382165,-33.918469,18,1541,1541,1549,9,1996-09-27,1996-09-27,1996-10-05,-1.588,-1.8458,0.2977,-14.2918,-0.7349,-1.0663,0.3371,-6.6141,11.6111,11.5,0.2205,104.5,-0.4625,-0.1239
459,Sea Point,SACTN,18.382165,-33.918469,19,1555,1555,1557,3,1996-10-11,1996-10-11,1996-10-13,-2.0204,-2.3801,0.3118,-6.0613,-0.9799,-1.3589,0.3289,-2.9397,10.8333,10.5,0.2887,32.5,-1.9732,-0.4261
460,Sea Point,SACTN,18.382165,-33.918469,20,1683,1687,1695,13,1997-02-16,1997-02-20,1997-02-28,-1.5498,-2.2848,0.9059,-20.148,-0.3191,-1.0306,0.9191,-4.1483,11.6923,11,0.9251,152,-0.2253,-0.2545
461,Sea Point,SACTN,18.382165,-33.918469,21,1727,1729,1729,3,1997-04-01,1997-04-03,1997-04-03,-1.6351,-1.6447,0.0096,-4.9053,-0.8274,-0.8468,0.0194,-2.4823,11,11,0,33,-0.4093,-3.9909
462,Sea Point,SACTN,18.382165,-33.918469,22,1760,1765,1771,12,1997-05-04,1997-05-09,1997-05-15,-1.1724,-1.9971,0.6416,-14.0694,-0.3921,-1.2065,0.6383,-4.7049,11.8333,11,0.6513,142,-0.2905,-0.2511
463,Sea Point,SACTN,18.382165,-33.918469,23,2067,2068,2070,4,1998-03-07,1998-03-08,1998-03-10,-1.6885,-1.9502,0.2904,-6.7541,-0.6081,-0.8597,0.2888,-2.4323,11.25,11,0.2887,45,-0.4781,-0.0234
464,Sea Point,SACTN,18.382165,-33.918469,24,2235,2235,2237,3,1998-08-22,1998-08-22,1998-08-24,-1.1154,-1.4355,0.2773,-3.3461,-0.4242,-0.7387,0.2725,-1.2726,12.3333,12,0.2887,37,-1.0144,-0.287
